timestamp,mac,ssid,rssi
2026-02-23 23:08:27.408602,66:65:b0:d8:2b:6b,UCR-SECURE,-83
2026-02-23 23:08:27.611795,66:65:b0:d8:2b:6b,UCR-SECURE,-83
2026-02-23 23:08:27.768017,ee:55:ad:c0:73:69,<Broadcast>,-65
2026-02-23 23:08:31.291790,8e:1c:29:38:70:59,<Broadcast>,-59
2026-02-23 23:08:31.337586,8e:1c:29:38:70:59,<Broadcast>,-49
2026-02-23 23:08:31.361701,8e:1c:29:38:70:59,<Broadcast>,-51
2026-02-23 23:08:31.381990,8e:1c:29:38:70:59,<Broadcast>,-48
2026-02-23 23:08:31.449347,8e:1c:29:38:70:59,<Broadcast>,-51
2026-02-23 23:08:34.511102,62:c4:96:bb:50:9e,<Broadcast>,-77
2026-02-23 23:08:34.528804,62:c4:96:bb:50:9e,<Broadcast>,-75
2026-02-23 23:08:35.536221,ae:d8:c6:b6:cd:24,<Broadcast>,-64
2026-02-23 23:08:35.543809,ae:d8:c6:b6:cd:24,<Broadcast>,-64
2026-02-23 23:08:37.399604,fe:8d:ae:51:6e:3e,UCR-SECURE,-61
2026-02-23 23:08:39.942554,1e:8b:d6:12:37:30,<Broadcast>,-64
2026-02-23 23:08:39.961033,1e:8b:d6:12:37:30,<Broadcast>,-64
2026-02-23 23:08:40.065005,5e:58:41:09:bb:31,<Broadcast>,-71
2026-02-23 23:08:40.468281,42:07:6e:31:61:ed,<Broadcast>,-68
2026-02-23 23:08:40.487269,42:07:6e:31:61:ed,<Broadcast>,-69
2026-02-23 23:08:40.796651,42:20:16:e3:cd:f3,UCR-SECURE,-61
2026-02-23 23:08:41.122447,42:20:16:e3:cd:f3,UCR-SECURE,-59
2026-02-23 23:08:41.143703,42:20:16:e3:cd:f3,UCR-SECURE,-59
2026-02-23 23:08:41.215576,42:20:16:e3:cd:f3,UCR-SECURE,-61
2026-02-23 23:08:41.232589,42:20:16:e3:cd:f3,UCR-SECURE,-61
2026-02-23 23:08:41.517477,8e:63:a7:8e:f9:3f,UCR-SECURE,-82
2026-02-23 23:08:41.536385,5a:f2:1c:49:89:17,UCR-SECURE,-72
2026-02-23 23:08:41.552886,5a:f2:1c:49:89:17,UCR-SECURE,-75
2026-02-23 23:08:41.562548,5a:f2:1c:49:89:17,UCR-SECURE,-75
2026-02-23 23:08:41.695113,5a:f2:1c:49:89:17,UCR-SECURE,-74
2026-02-23 23:08:41.876269,46:7b:00:9e:c0:8e,<Broadcast>,-60
2026-02-23 23:08:43.553006,c0:35:32:6d:45:15,<Broadcast>,-60
2026-02-23 23:08:43.555498,c0:35:32:6d:45:15,<Broadcast>,-59
2026-02-23 23:08:43.805573,5a:f2:1c:49:89:17,UCR-SECURE,-75
2026-02-23 23:08:43.825572,5a:f2:1c:49:89:17,UCR-SECURE,-76
2026-02-23 23:08:43.974233,a6:aa:57:59:19:00,<Broadcast>,-67
2026-02-23 23:08:43.995413,a6:aa:57:59:19:00,<Broadcast>,-70
2026-02-23 23:08:44.196877,12:41:70:6d:9d:c7,<Broadcast>,-61
2026-02-23 23:08:44.335404,26:90:20:cb:29:74,<Broadcast>,-61
2026-02-23 23:08:44.969183,d4:d2:52:92:e6:bd,UCR-SECURE,-66
2026-02-23 23:08:45.385214,d4:d2:52:92:e6:bd,UCR-SECURE,-62
2026-02-23 23:08:45.434305,d4:d2:52:92:e6:bd,UCR-SECURE,-58
2026-02-23 23:08:45.437774,d4:d2:52:92:e6:bd,UCR-SECURE,-62
2026-02-23 23:08:46.369839,da:5b:bb:b7:fa:0b,<Broadcast>,-56
2026-02-23 23:08:46.378696,da:5b:bb:b7:fa:0b,<Broadcast>,-56
2026-02-23 23:08:47.656692,fe:8d:ae:51:6e:3e,UCR-SECURE,-60
2026-02-23 23:08:47.677347,fe:8d:ae:51:6e:3e,UCR-SECURE,-61
2026-02-23 23:08:47.739899,62:c4:96:bb:50:9e,<Broadcast>,-77
2026-02-23 23:08:47.759406,62:c4:96:bb:50:9e,<Broadcast>,-79
2026-02-23 23:08:47.793517,fe:8d:ae:51:6e:3e,UCR-SECURE,-60
2026-02-23 23:08:47.991283,fe:8d:ae:51:6e:3e,UCR-SECURE,-65
2026-02-23 23:08:48.011250,fe:8d:ae:51:6e:3e,UCR-SECURE,-59
2026-02-23 23:08:48.151639,fe:8d:ae:51:6e:3e,UCR-SECURE,-69
2026-02-23 23:08:48.782231,9e:fb:24:37:80:09,<Broadcast>,-77
2026-02-23 23:08:48.802873,9e:fb:24:37:80:09,<Broadcast>,-78
2026-02-23 23:08:48.830348,4a:24:88:90:0a:ca,<Broadcast>,-72
2026-02-23 23:08:48.893031,56:f2:1e:f3:77:cd,<Broadcast>,-71
2026-02-23 23:08:48.942773,7e:a6:0d:d2:0a:03,<Broadcast>,-65
2026-02-23 23:08:52.429732,52:34:0b:38:17:bd,<Broadcast>,-51
2026-02-23 23:08:52.449019,52:34:0b:38:17:bd,<Broadcast>,-52
2026-02-23 23:08:52.522330,72:6c:b1:b9:a5:31,<Broadcast>,-58
2026-02-23 23:08:52.542856,72:6c:b1:b9:a5:31,<Broadcast>,-58
2026-02-23 23:08:53.373275,e0:2e:0b:3b:99:e4,<Broadcast>,-61
2026-02-23 23:08:54.074409,42:45:36:f6:0f:b5,UCR-SECURE,-62
2026-02-23 23:08:54.752129,5e:0d:ab:98:a2:95,<Broadcast>,-73
2026-02-23 23:08:55.322424,86:de:7a:16:3b:51,<Broadcast>,-79
2026-02-23 23:09:01.006341,56:49:08:31:c6:20,<Broadcast>,-68
2026-02-23 23:09:01.025729,56:49:08:31:c6:20,<Broadcast>,-68
2026-02-23 23:09:02.085408,2a:2d:00:4f:04:d5,<Broadcast>,-59
2026-02-23 23:09:02.104729,2a:2d:00:4f:04:d5,<Broadcast>,-58
2026-02-23 23:09:02.425350,7a:24:a7:10:2f:22,<Broadcast>,-58
2026-02-23 23:09:02.451834,12:30:14:bd:b9:0b,<Broadcast>,-65
2026-02-23 23:09:02.470585,12:30:14:bd:b9:0b,<Broadcast>,-64
2026-02-23 23:09:02.760364,62:c4:96:bb:50:9e,<Broadcast>,-76
2026-02-23 23:09:02.780428,62:c4:96:bb:50:9e,<Broadcast>,-73
2026-02-23 23:09:08.466430,c8:89:f3:ae:0f:94,UCR-SECURE,-73
2026-02-23 23:09:09.802210,ba:82:4e:92:cd:99,<Broadcast>,-58
2026-02-23 23:09:09.822211,ba:82:4e:92:cd:99,<Broadcast>,-58
2026-02-23 23:09:13.522828,ae:67:85:ba:73:12,UCR-SECURE,-70
2026-02-23 23:09:13.540544,ae:67:85:ba:73:12,UCR-SECURE,-70
2026-02-23 23:09:13.620746,ae:67:85:ba:73:12,UCR-SECURE,-66
2026-02-23 23:09:13.639839,ae:67:85:ba:73:12,UCR-SECURE,-66
2026-02-23 23:09:15.349403,5a:f2:1c:49:89:17,UCR-SECURE,-73
2026-02-23 23:09:15.401207,2c:8d:b1:e3:0e:ef,UCR-GUEST,-67
2026-02-23 23:09:15.771285,6e:af:d8:5a:5d:61,<Broadcast>,-76
2026-02-23 23:09:15.796032,22:35:17:c7:ad:6d,<Broadcast>,-75
2026-02-23 23:09:15.815180,22:35:17:c7:ad:6d,<Broadcast>,-73
2026-02-23 23:09:15.840942,8a:de:1d:84:ed:56,<Broadcast>,-80
2026-02-23 23:09:15.862065,8a:de:1d:84:ed:56,<Broadcast>,-76
2026-02-23 23:09:18.145192,d4:d2:52:92:e6:bd,UCR-SECURE,-75
2026-02-23 23:09:18.509955,d4:d2:52:92:e6:bd,UCR-SECURE,-72
2026-02-23 23:09:18.610961,d4:d2:52:92:e6:bd,UCR-SECURE,-63
2026-02-23 23:09:18.613432,d4:d2:52:92:e6:bd,UCR-SECURE,-67
2026-02-23 23:09:19.293062,9a:2d:74:a2:d0:77,<Broadcast>,-71
2026-02-23 23:09:19.314709,9a:2d:74:a2:d0:77,<Broadcast>,-69
2026-02-23 23:09:19.340732,1a:a5:e6:1b:6e:7c,<Broadcast>,-76
2026-02-23 23:09:21.297231,32:a4:54:2c:55:f3,<Broadcast>,-68
2026-02-23 23:09:22.819290,ea:96:24:47:8c:c0,<Broadcast>,-84
2026-02-23 23:09:23.928155,4a:3d:10:14:c3:97,<Broadcast>,-84
2026-02-23 23:09:24.175244,4a:05:09:e2:5a:03,<Broadcast>,-85
2026-02-23 23:09:25.554194,2e:a9:8b:cd:9f:88,<Broadcast>,-58
2026-02-23 23:09:26.700266,a6:b0:45:e4:5d:5c,<Broadcast>,-58
2026-02-23 23:09:26.855414,d2:73:e0:d8:2a:b2,<Broadcast>,-60
2026-02-23 23:09:27.220494,32:7b:a2:0e:94:94,<Broadcast>,-86
2026-02-23 23:09:27.697317,02:e6:d4:0f:2c:80,<Broadcast>,-75
2026-02-23 23:09:30.682419,2a:10:a5:cf:2b:d1,<Broadcast>,-84
2026-02-23 23:09:30.688760,2a:10:a5:cf:2b:d1,<Broadcast>,-82
