timestamp,mac,ssid,rssi
2026-02-23 14:21:26.246302,9c:fc:e8:7e:f8:a1,<Broadcast>,-60
2026-02-23 14:21:26.293365,9c:fc:e8:7e:f8:a1,<Broadcast>,-56
2026-02-23 14:21:26.311424,9c:fc:e8:7e:f8:a1,<Broadcast>,-60
2026-02-23 14:21:27.779794,e2:a7:38:3d:fc:8f,UCR-SECURE,-72
2026-02-23 14:21:27.791775,e2:a7:38:3d:fc:8f,UCR-SECURE,-67
2026-02-23 14:21:27.985404,e2:a7:38:3d:fc:8f,UCR-SECURE,-71
2026-02-23 14:21:27.998430,e2:a7:38:3d:fc:8f,UCR-SECURE,-72
2026-02-23 14:21:29.215935,b6:76:e4:15:12:13,UCR-SECURE,-63
2026-02-23 14:21:29.231731,b6:76:e4:15:12:13,UCR-SECURE,-64
2026-02-23 14:21:29.322283,b6:76:e4:15:12:13,UCR-SECURE,-59
2026-02-23 14:21:29.332795,b6:76:e4:15:12:13,UCR-SECURE,-59
2026-02-23 14:21:29.398265,b6:76:e4:15:12:13,UCR-SECURE,-60
2026-02-23 14:21:29.410872,b6:76:e4:15:12:13,UCR-SECURE,-58
2026-02-23 14:21:29.866952,9c:fc:e8:7e:f8:a1,<Broadcast>,-69
2026-02-23 14:21:29.880361,9c:fc:e8:7e:f8:a1,<Broadcast>,-65
2026-02-23 14:21:29.937123,ae:93:90:99:51:27,<Broadcast>,-62
2026-02-23 14:21:30.097322,02:7d:87:d0:e3:55,<Broadcast>,-60
2026-02-23 14:21:31.966030,9c:fc:e8:7e:f8:a1,<Broadcast>,-60
2026-02-23 14:21:32.032097,9c:fc:e8:7e:f8:a1,<Broadcast>,-60
2026-02-23 14:21:32.047892,9c:fc:e8:7e:f8:a1,<Broadcast>,-61
2026-02-23 14:21:32.363357,dc:46:28:af:a1:ef,UCR-SECURE,-71
2026-02-23 14:21:33.093473,96:79:85:b4:73:cc,UCR-SECURE,-67
2026-02-23 14:21:33.927063,00:80:92:bd:0d:04,UCR-SECURE,-80
2026-02-23 14:21:35.222119,9c:fc:e8:7e:f8:a1,<Broadcast>,-65
2026-02-23 14:21:35.241313,9c:fc:e8:7e:f8:a1,<Broadcast>,-63
2026-02-23 14:21:36.845558,3a:c9:1f:f5:09:bc,<Broadcast>,-65
2026-02-23 14:21:36.848344,3a:c9:1f:f5:09:bc,Tomin,-68
2026-02-23 14:21:36.865568,3a:c9:1f:f5:09:bc,<Broadcast>,-63
2026-02-23 14:21:36.926402,3a:c9:1f:f5:09:bc,<Broadcast>,-60
2026-02-23 14:21:36.929068,3a:c9:1f:f5:09:bc,Tomin,-60
2026-02-23 14:21:36.946676,3a:c9:1f:f5:09:bc,<Broadcast>,-55
2026-02-23 14:21:36.967109,3a:c9:1f:f5:09:bc,<Broadcast>,-63
2026-02-23 14:21:36.990044,3a:c9:1f:f5:09:bc,<Broadcast>,-53
2026-02-23 14:21:36.991430,3a:c9:1f:f5:09:bc,Tomin,-61
2026-02-23 14:21:37.011365,3a:c9:1f:f5:09:bc,<Broadcast>,-58
2026-02-23 14:21:37.014270,3a:c9:1f:f5:09:bc,Tomin,-59
2026-02-23 14:21:37.031588,3a:c9:1f:f5:09:bc,<Broadcast>,-59
2026-02-23 14:21:37.034449,3a:c9:1f:f5:09:bc,Tomin,-52
2026-02-23 14:21:37.051861,3a:c9:1f:f5:09:bc,<Broadcast>,-57
2026-02-23 14:21:37.054442,3a:c9:1f:f5:09:bc,Tomin,-57
2026-02-23 14:21:37.097435,3a:c9:1f:f5:09:bc,<Broadcast>,-57
2026-02-23 14:21:37.100247,3a:c9:1f:f5:09:bc,Tomin,-57
2026-02-23 14:21:37.117467,3a:c9:1f:f5:09:bc,<Broadcast>,-56
2026-02-23 14:21:37.120272,3a:c9:1f:f5:09:bc,Tomin,-56
2026-02-23 14:21:37.138264,3a:c9:1f:f5:09:bc,<Broadcast>,-56
2026-02-23 14:21:37.140944,3a:c9:1f:f5:09:bc,Tomin,-56
2026-02-23 14:21:37.979301,5e:52:56:f7:76:3b,UCR-SECURE,-65
2026-02-23 14:21:37.998180,5e:52:56:f7:76:3b,UCR-SECURE,-69
2026-02-23 14:21:38.006462,5e:52:56:f7:76:3b,UCR-SECURE,-63
2026-02-23 14:21:38.845993,be:55:31:7c:2b:66,<Broadcast>,-58
2026-02-23 14:21:38.920310,2a:ae:ff:ab:dd:db,<Broadcast>,-70
2026-02-23 14:21:38.928359,6a:e3:30:ce:c5:9b,<Broadcast>,-53
2026-02-23 14:21:38.948590,6a:e3:30:ce:c5:9b,<Broadcast>,-55
2026-02-23 14:21:39.185024,ea:86:f2:e1:9e:91,<Broadcast>,-54
2026-02-23 14:21:39.205193,ea:86:f2:e1:9e:91,<Broadcast>,-53
2026-02-23 14:21:39.304392,66:5b:94:f7:34:95,<Broadcast>,-64
2026-02-23 14:21:42.772722,6a:c0:15:77:4c:0b,<Broadcast>,-65
2026-02-23 14:21:42.792244,6a:c0:15:77:4c:0b,<Broadcast>,-65
2026-02-23 14:21:43.916458,9c:fc:e8:7e:f8:a1,<Broadcast>,-62
2026-02-23 14:21:43.933453,9c:fc:e8:7e:f8:a1,<Broadcast>,-58
2026-02-23 14:21:43.948338,9c:fc:e8:7e:f8:a1,<Broadcast>,-62
2026-02-23 14:21:45.032561,12:00:58:22:13:09,<Broadcast>,-55
2026-02-23 14:21:45.078183,c2:44:64:57:71:4b,UCR-SECURE,-53
2026-02-23 14:21:45.182518,fe:12:a7:cb:c7:e5,UCR-SECURE,-55
2026-02-23 14:21:45.184856,b2:93:63:7d:5a:d1,<Broadcast>,-53
2026-02-23 14:21:46.322440,9c:fc:e8:7e:f8:a1,<Broadcast>,-65
2026-02-23 14:21:46.338526,9c:fc:e8:7e:f8:a1,<Broadcast>,-63
2026-02-23 14:21:46.420597,42:47:9d:7d:69:33,UCR-SECURE,-73
2026-02-23 14:21:47.547814,00:80:92:bd:0d:04,UCR-SECURE,-82
2026-02-23 14:21:47.974327,e0:2b:e9:8d:5a:b3,UCR-SECURE,-60
2026-02-23 14:21:48.343815,ca:37:93:b8:15:17,UCR-SECURE,-56
2026-02-23 14:21:48.727558,ca:37:93:b8:15:17,UCR-SECURE,-53
2026-02-23 14:21:49.653446,9c:fc:e8:7e:f8:a1,<Broadcast>,-64
2026-02-23 14:21:49.667793,22:0e:6d:17:36:2b,UCR-SECURE,-65
2026-02-23 14:21:49.668756,9c:fc:e8:7e:f8:a1,<Broadcast>,-57
2026-02-23 14:21:49.677977,22:0e:6d:17:36:2b,UCR-SECURE,-68
2026-02-23 14:21:49.717399,9c:fc:e8:7e:f8:a1,<Broadcast>,-59
2026-02-23 14:21:49.782217,22:0e:6d:17:36:2b,UCR-SECURE,-62
2026-02-23 14:21:49.792384,22:0e:6d:17:36:2b,UCR-SECURE,-60
2026-02-23 14:21:49.922997,22:0e:6d:17:36:2b,UCR-SECURE,-63
2026-02-23 14:21:49.944338,22:0e:6d:17:36:2b,UCR-SECURE,-63
2026-02-23 14:21:51.916988,9c:fc:e8:7e:f8:a1,<Broadcast>,-64
2026-02-23 14:21:51.957267,9c:fc:e8:7e:f8:a1,<Broadcast>,-63
2026-02-23 14:21:51.977060,9c:fc:e8:7e:f8:a1,<Broadcast>,-66
2026-02-23 14:21:52.271250,70:32:17:81:20:d6,<Broadcast>,-64
2026-02-23 14:21:54.477456,62:cf:54:04:87:f4,UCR-SECURE,-70
2026-02-23 14:21:54.480139,96:a3:7e:ea:5c:fe,UCR-SECURE,-67
2026-02-23 14:21:54.817201,36:90:8b:8f:b7:8a,<Broadcast>,-60
2026-02-23 14:21:54.940991,92:c2:74:d4:94:de,UCR-SECURE,-70
2026-02-23 14:21:55.273155,be:8f:f4:a1:d6:65,UCR-SECURE,-70
2026-02-23 14:21:55.386367,fa:d9:e1:aa:10:d9,<Broadcast>,-71
2026-02-23 14:21:55.499933,22:0e:6d:17:36:2b,UCR-SECURE,-69
2026-02-23 14:21:55.580139,22:0e:6d:17:36:2b,UCR-SECURE,-63
2026-02-23 14:21:55.611595,22:0e:6d:17:36:2b,UCR-SECURE,-62
2026-02-23 14:21:55.672110,22:0e:6d:17:36:2b,UCR-SECURE,-62
2026-02-23 14:21:55.692377,22:0e:6d:17:36:2b,UCR-SECURE,-61
2026-02-23 14:21:55.765789,22:0e:6d:17:36:2b,UCR-SECURE,-60
2026-02-23 14:21:55.785797,22:0e:6d:17:36:2b,UCR-SECURE,-63
2026-02-23 14:21:56.195061,70:32:17:81:20:d6,OnePlus 12 6d0b,-64
2026-02-23 14:21:56.879791,00:80:92:bd:0d:04,UCR-SECURE,-85
2026-02-23 14:21:57.583375,70:32:17:81:20:d6,OnePlus 12 6d0b,-58
2026-02-23 14:21:57.917272,5a:83:22:dd:7d:07,<Broadcast>,-62
2026-02-23 14:21:57.938775,5a:83:22:dd:7d:07,<Broadcast>,-61
2026-02-23 14:21:58.608078,32:2d:32:b0:60:09,UCR-SECURE,-71
2026-02-23 14:21:59.008702,70:32:17:81:20:d6,<Broadcast>,-63
2026-02-23 14:22:00.390870,9c:fc:e8:7e:f8:a1,<Broadcast>,-61
2026-02-23 14:22:00.399019,8e:a1:60:ca:f5:07,<Broadcast>,-73
2026-02-23 14:22:00.424169,8e:a1:60:ca:f5:07,<Broadcast>,-73
2026-02-23 14:22:00.437740,9c:fc:e8:7e:f8:a1,<Broadcast>,-57
2026-02-23 14:22:00.444320,8e:a1:60:ca:f5:07,<Broadcast>,-72
2026-02-23 14:22:00.456323,9c:fc:e8:7e:f8:a1,<Broadcast>,-58
2026-02-23 14:22:01.614465,7e:91:d7:d6:8b:12,UCR-GUEST,-61
2026-02-23 14:22:01.616191,82:cd:3f:f9:ec:51,<Broadcast>,-62
2026-02-23 14:22:01.749670,de:9b:4c:e3:6f:0b,UCR-GUEST,-68
2026-02-23 14:22:02.646004,70:32:17:81:20:d6,OnePlus 12 6d0b,-61
2026-02-23 14:22:03.383820,32:53:bf:dd:0b:20,<Broadcast>,-70
2026-02-23 14:22:04.314014,06:10:04:34:b8:d1,<Broadcast>,-62
2026-02-23 14:22:04.757133,d6:38:99:40:d5:35,UCR-SECURE,-68
2026-02-23 14:22:05.713412,7a:7d:6b:10:dd:68,UCR-SECURE,-64
2026-02-23 14:22:05.733602,7a:7d:6b:10:dd:68,UCR-SECURE,-62
2026-02-23 14:22:05.773473,7a:7d:6b:10:dd:68,UCR-SECURE,-62
2026-02-23 14:22:06.056554,9c:fc:e8:7e:f8:a1,<Broadcast>,-70
2026-02-23 14:22:06.120444,9c:fc:e8:7e:f8:a1,<Broadcast>,-60
2026-02-23 14:22:06.139422,9c:fc:e8:7e:f8:a1,<Broadcast>,-63
2026-02-23 14:22:06.402549,8a:96:48:b7:e9:e6,UCR-GUEST,-65
2026-02-23 14:22:07.200458,ae:96:df:f1:ee:32,<Broadcast>,-64
2026-02-23 14:22:07.387604,a2:1c:5c:2f:cb:53,<Broadcast>,-72
2026-02-23 14:22:07.435624,8e:d8:07:90:b1:0b,<Broadcast>,-65
2026-02-23 14:22:07.454570,8e:d8:07:90:b1:0b,<Broadcast>,-66
2026-02-23 14:22:07.644737,8e:f2:6b:ae:4c:9e,<Broadcast>,-55
2026-02-23 14:22:07.745080,52:ad:f5:62:5e:cc,<Broadcast>,-59
2026-02-23 14:22:07.896270,ae:18:10:9b:ce:8a,<Broadcast>,-57
2026-02-23 14:22:09.766270,00:80:92:bd:0d:04,UCR-SECURE,-81
2026-02-23 14:22:10.074724,d4:d2:52:92:e6:bd,UCR-SECURE,-64
2026-02-23 14:22:10.122732,d4:d2:52:92:e6:bd,UCR-SECURE,-59
2026-02-23 14:22:10.126620,d4:d2:52:92:e6:bd,UCR-SECURE,-59
2026-02-23 14:22:10.178947,d4:d2:52:92:e6:bd,UCR-SECURE,-60
2026-02-23 14:22:10.281895,00:80:92:bd:0d:04,UCR-SECURE,-80
2026-02-23 14:22:11.741541,9c:fc:e8:7e:f8:a1,<Broadcast>,-61
2026-02-23 14:22:11.787794,9c:fc:e8:7e:f8:a1,<Broadcast>,-59
2026-02-23 14:22:11.807708,9c:fc:e8:7e:f8:a1,<Broadcast>,-61
2026-02-23 14:22:13.043373,ac:82:47:fb:52:48,<Broadcast>,-74
2026-02-23 14:22:14.572052,00:80:92:bd:0d:04,UCR-SECURE,-83
2026-02-23 14:22:14.903073,c0:35:32:6d:45:15,<Broadcast>,-51
2026-02-23 14:22:14.903773,c0:35:32:6d:45:15,<Broadcast>,-51
2026-02-23 14:22:14.904344,c0:35:32:6d:45:15,<Broadcast>,-51
2026-02-23 14:22:15.784101,42:a3:c7:db:b5:9f,<Broadcast>,-36
2026-02-23 14:22:15.793900,42:a3:c7:db:b5:9f,<Broadcast>,-37
2026-02-23 14:22:15.815278,42:a3:c7:db:b5:9f,<Broadcast>,-36
2026-02-23 14:22:15.859743,42:a3:c7:db:b5:9f,<Broadcast>,-38
2026-02-23 14:22:15.969261,de:cc:e5:56:f0:13,UCR-SECURE,-72
2026-02-23 14:22:16.611513,0e:24:d4:b8:7b:57,UCR-SECURE,-68
2026-02-23 14:22:16.660215,d2:1a:36:1e:ce:2b,UCR-SECURE,-67
2026-02-23 14:22:16.662025,3a:8d:99:08:6d:dc,UCR-SECURE,-70
2026-02-23 14:22:17.251488,98:59:7a:be:af:f5,UCR-SECURE,-65
2026-02-23 14:22:17.448554,9c:fc:e8:7e:f8:a1,<Broadcast>,-68
2026-02-23 14:22:17.635303,3e:7c:58:a3:5b:47,UCR-SECURE,-65
2026-02-23 14:22:17.680585,3e:7c:58:a3:5b:47,UCR-SECURE,-67
2026-02-23 14:22:17.703624,3e:7c:58:a3:5b:47,UCR-SECURE,-67
2026-02-23 14:22:21.019547,70:32:17:81:20:d6,<Broadcast>,-59
2026-02-23 14:22:22.248348,42:a3:c7:db:b5:9f,<Broadcast>,-36
2026-02-23 14:22:22.271088,42:a3:c7:db:b5:9f,<Broadcast>,-35
2026-02-23 14:22:22.292507,42:a3:c7:db:b5:9f,<Broadcast>,-33
2026-02-23 14:22:22.345957,42:a3:c7:db:b5:9f,<Broadcast>,-39
2026-02-23 14:22:23.262044,9c:fc:e8:7e:f8:a1,<Broadcast>,-61
2026-02-23 14:22:23.309820,9c:fc:e8:7e:f8:a1,<Broadcast>,-58
2026-02-23 14:22:23.327407,9c:fc:e8:7e:f8:a1,<Broadcast>,-62
2026-02-23 14:22:23.538624,3e:e2:1d:2e:39:33,<Broadcast>,-67
2026-02-23 14:22:24.096764,c2:8c:59:9c:83:ee,<Broadcast>,-63
2026-02-23 14:22:24.326693,82:0e:ea:49:26:86,<Broadcast>,-65
2026-02-23 14:22:24.346720,82:0e:ea:49:26:86,<Broadcast>,-66
2026-02-23 14:22:25.133351,92:c1:22:f7:a3:88,<Broadcast>,-57
2026-02-23 14:22:25.153800,92:c1:22:f7:a3:88,<Broadcast>,-57
2026-02-23 14:22:25.328486,b2:95:49:da:08:40,<Broadcast>,-62
2026-02-23 14:22:25.406154,22:3a:8b:9c:5f:62,<Broadcast>,-66
2026-02-23 14:22:25.469017,22:3a:8b:9c:5f:62,<Broadcast>,-64
2026-02-23 14:22:25.806532,70:32:17:81:20:d6,OnePlus 12 6d0b,-59
2026-02-23 14:22:26.068949,fe:c5:5f:38:7b:d6,<Broadcast>,-66
2026-02-23 14:22:26.128094,5a:b0:b1:bc:c6:c7,<Broadcast>,-65
2026-02-23 14:22:26.161706,5a:b0:b1:bc:c6:c7,<Broadcast>,-66
2026-02-23 14:22:26.377004,92:b9:38:ff:56:af,<Broadcast>,-64
2026-02-23 14:22:26.455427,22:0e:6d:17:36:2b,UCR-SECURE,-67
2026-02-23 14:22:26.459507,22:0e:6d:17:36:2b,UCR-SECURE,-68
2026-02-23 14:22:26.546575,22:0e:6d:17:36:2b,UCR-SECURE,-64
2026-02-23 14:22:26.868239,3a:e2:be:ec:ea:08,<Broadcast>,-70
2026-02-23 14:22:26.951115,8a:91:18:6a:f9:d3,<Broadcast>,-62
2026-02-23 14:22:27.130578,6e:a2:b9:0a:ea:79,<Broadcast>,-62
2026-02-23 14:22:27.150972,6e:a2:b9:0a:ea:79,<Broadcast>,-63
2026-02-23 14:22:27.181032,1a:73:00:e4:44:34,<Broadcast>,-66
2026-02-23 14:22:27.206566,a2:1d:fc:c0:68:fd,<Broadcast>,-62
2026-02-23 14:22:27.359795,70:32:17:81:20:d6,OnePlus 12 6d0b,-57
2026-02-23 14:22:27.389163,12:15:c3:ba:bb:0f,<Broadcast>,-64
2026-02-23 14:22:27.408849,12:15:c3:ba:bb:0f,<Broadcast>,-64
2026-02-23 14:22:28.019138,ca:9d:9c:4c:b7:d3,<Broadcast>,-63
2026-02-23 14:22:28.212817,d2:3f:80:6d:fc:99,<Broadcast>,-63
2026-02-23 14:22:28.914338,70:32:17:81:20:d6,<Broadcast>,-58
2026-02-23 14:22:29.025218,c2:00:ec:b3:3d:86,<Broadcast>,-64
2026-02-23 14:22:29.393476,9c:fc:e8:7e:f8:a1,<Broadcast>,-66
2026-02-23 14:22:29.404580,9c:fc:e8:7e:f8:a1,<Broadcast>,-64
2026-02-23 14:22:29.454062,02:89:7c:bc:bd:11,<Broadcast>,-65
2026-02-23 14:22:29.509183,02:89:7c:bc:bd:11,<Broadcast>,-65
2026-02-23 14:22:29.923479,f2:2d:c6:4a:c7:5c,<Broadcast>,-64
2026-02-23 14:22:29.976615,f2:2d:c6:4a:c7:5c,<Broadcast>,-63
2026-02-23 14:22:30.272213,62:74:57:53:46:50,<Broadcast>,-65
2026-02-23 14:22:30.311453,62:74:57:53:46:50,<Broadcast>,-67
2026-02-23 14:22:30.432823,fa:60:3f:0c:f2:20,<Broadcast>,-67
2026-02-23 14:22:30.594276,0e:30:b1:8d:fd:bd,<Broadcast>,-63
2026-02-23 14:22:30.649781,0e:30:b1:8d:fd:bd,<Broadcast>,-63
2026-02-23 14:22:30.879350,70:32:17:81:20:d6,<Broadcast>,-59
2026-02-23 14:22:31.292643,0e:3a:b5:e5:8a:f1,<Broadcast>,-65
2026-02-23 14:22:31.488013,42:a3:c7:db:b5:9f,<Broadcast>,-48
2026-02-23 14:22:31.559832,42:a3:c7:db:b5:9f,<Broadcast>,-39
2026-02-23 14:22:31.581357,42:a3:c7:db:b5:9f,<Broadcast>,-36
2026-02-23 14:22:31.623526,42:a3:c7:db:b5:9f,<Broadcast>,-36
2026-02-23 14:22:32.207877,9c:fc:e8:7e:f8:a1,<Broadcast>,-57
2026-02-23 14:22:32.262269,9c:fc:e8:7e:f8:a1,<Broadcast>,-55
2026-02-23 14:22:33.983941,f6:09:6a:73:47:20,<Broadcast>,-57
2026-02-23 14:22:34.003748,f6:09:6a:73:47:20,<Broadcast>,-57
2026-02-23 14:22:34.113173,da:de:41:7d:73:df,<Broadcast>,-62
2026-02-23 14:22:34.129972,da:de:41:7d:73:df,<Broadcast>,-61
2026-02-23 14:22:34.137523,7e:ad:37:e4:8f:be,<Broadcast>,-54
2026-02-23 14:22:34.157386,7e:ad:37:e4:8f:be,<Broadcast>,-54
