timestamp,mac,ssid,rssi
2026-03-04 17:45:05.559609,26:0a:3b:7f:96:86,<Broadcast>,-58
2026-03-04 17:45:05.581772,2a:57:71:ca:e0:ab,<Broadcast>,-57
2026-03-04 17:45:06.368172,66:20:d1:c9:f1:35,<Broadcast>,-54
2026-03-04 17:45:06.619245,7a:03:f6:bd:a8:14,<Broadcast>,-87
2026-03-04 17:45:06.948426,00:80:92:bd:0d:04,UCR-SECURE,-85
2026-03-04 17:45:06.968519,00:80:92:bd:0d:04,UCR-SECURE,-84
2026-03-04 17:45:07.029236,32:83:11:f4:81:ca,UCR-SECURE,-73
2026-03-04 17:45:07.066904,ea:03:dd:50:88:d2,SETUP-B9EC,-75
2026-03-04 17:45:07.112997,b6:f2:23:35:e2:df,SETUP-B9EC,-70
2026-03-04 17:45:07.115477,be:6d:fb:59:5c:54,RitzCarlton_GUEST,-72
2026-03-04 17:45:07.137179,1a:0c:8c:fc:25:a5,aterm-46aa01-a,-76
2026-03-04 17:45:07.178278,e2:f1:13:a7:e4:ce,CoffeeFolks,-76
2026-03-04 17:45:07.187587,76:90:2b:c7:83:5b,SETUP-B9EC,-78
2026-03-04 17:45:07.202707,ca:77:aa:33:cb:49,<Broadcast>,-76
2026-03-04 17:45:07.244672,16:7b:29:25:ff:d6,Our wifi,-77
2026-03-04 17:45:07.263361,e2:de:55:72:07:16,RitzCarlton_GUEST,-77
2026-03-04 17:45:07.301926,de:14:aa:b7:24:98,Rotex Western Guest 5G,-78
2026-03-04 17:45:07.320084,8a:17:3d:85:57:02,CustomerWifi,-79
2026-03-04 17:45:07.332777,62:b5:3a:35:11:24,<Broadcast>,-78
2026-03-04 17:45:07.355417,ca:31:e9:67:23:0b,UCR-SECURE,-76
2026-03-04 17:45:07.390096,c6:7f:72:4d:4b:13,RitzCarlton_GUEST,-79
2026-03-04 17:45:07.404691,e6:a5:8a:b0:00:13,Our wifi,-77
2026-03-04 17:45:07.406896,8a:17:3d:85:57:02,CustomerWifi,-78
2026-03-04 17:45:08.519311,3a:82:65:7c:f0:30,<Broadcast>,-47
2026-03-04 17:45:08.535487,3a:82:65:7c:f0:30,<Broadcast>,-45
2026-03-04 17:45:09.148517,ce:91:83:6e:3c:bb,<Broadcast>,-78
2026-03-04 17:45:09.297435,7e:b5:83:58:60:d4,<Broadcast>,-73
2026-03-04 17:45:09.930412,86:f2:79:16:27:b6,<Broadcast>,-74
2026-03-04 17:45:09.968734,3a:82:65:7c:f0:30,CMCC-32yu-5G,-61
2026-03-04 17:45:09.986137,3a:82:65:7c:f0:30,NETGEAR-5G,-61
2026-03-04 17:45:10.028964,3a:82:65:7c:f0:30,NETGEAR-5G,-55
2026-03-04 17:45:10.033051,3a:82:65:7c:f0:30,CMCC-32yu-5G,-55
2026-03-04 17:45:10.035127,3a:82:65:7c:f0:30,Pixel_9240,-54
2026-03-04 17:45:10.037051,3a:82:65:7c:f0:30,TP-LINK_A715,-55
