timestamp,mac,ssid,rssi
2026-02-23 17:03:56.411530,ac:d5:64:82:cf:ac,<Broadcast>,-85
2026-02-23 17:03:56.420953,ac:d5:64:82:cf:ac,<Broadcast>,-83
2026-02-23 17:03:57.238581,3e:41:89:6a:8b:3e,<Broadcast>,-64
2026-02-23 17:03:57.240903,da:1a:4b:16:27:76,<Broadcast>,-65
2026-02-23 17:03:57.719203,8e:4c:9c:82:a8:77,<Broadcast>,-63
2026-02-23 17:03:57.851421,00:80:92:bd:0d:04,UCR-SECURE,-87
2026-02-23 17:03:57.873276,00:80:92:bd:0d:04,UCR-SECURE,-88
2026-02-23 17:03:58.302431,4e:89:aa:98:61:80,<Broadcast>,-74
2026-02-23 17:03:58.489661,00:80:92:bd:0d:04,UCR-SECURE,-87
2026-02-23 17:03:58.964060,16:90:f4:cd:54:85,<Broadcast>,-81
2026-02-23 17:03:59.089276,ba:8e:3e:6c:2d:9b,<Broadcast>,-65
2026-02-23 17:03:59.111428,ba:8e:3e:6c:2d:9b,<Broadcast>,-64
2026-02-23 17:03:59.138747,ea:47:14:b9:60:90,<Broadcast>,-59
2026-02-23 17:03:59.158929,ea:47:14:b9:60:90,<Broadcast>,-60
2026-02-23 17:03:59.238216,e2:c1:31:c5:0b:07,<Broadcast>,-65
2026-02-23 17:03:59.252475,66:4d:96:91:0f:90,<Broadcast>,-75
2026-02-23 17:03:59.256713,e2:c1:31:c5:0b:07,<Broadcast>,-63
2026-02-23 17:03:59.271690,6a:7d:9e:9e:03:98,<Broadcast>,-71
2026-02-23 17:03:59.282079,6a:7d:9e:9e:03:98,<Broadcast>,-71
2026-02-23 17:03:59.305802,ea:57:b3:c0:aa:ed,<Broadcast>,-68
2026-02-23 17:03:59.600092,8a:7f:11:00:84:bf,<Broadcast>,-66
2026-02-23 17:03:59.620251,7e:b2:db:aa:01:be,UCR-SECURE,-68
2026-02-23 17:03:59.622399,b2:fb:dd:d1:b3:b5,<Broadcast>,-68
2026-02-23 17:03:59.716715,8e:2f:3d:0b:f8:1c,UCR-SECURE,-72
2026-02-23 17:04:00.519303,4e:9a:5d:81:9a:25,<Broadcast>,-64
2026-02-23 17:04:00.539577,32:68:7f:44:18:63,<Broadcast>,-65
2026-02-23 17:04:00.541727,2a:68:20:3f:58:7a,<Broadcast>,-66
2026-02-23 17:04:01.015112,2a:4b:3c:d7:68:4f,<Broadcast>,-61
2026-02-23 17:04:01.173244,10:5b:ad:c6:62:9c,<Broadcast>,-76
2026-02-23 17:04:01.191978,10:5b:ad:c6:62:9c,<Broadcast>,-75
2026-02-23 17:04:01.706680,3a:82:65:7c:f0:30,<Broadcast>,-67
2026-02-23 17:04:02.966692,3a:82:65:7c:f0:30,<Broadcast>,-60
2026-02-23 17:04:02.969306,3a:82:65:7c:f0:30,NETGEAR-5G,-61
2026-02-23 17:04:02.971536,3a:82:65:7c:f0:30,CMCC-32yu-5G,-59
2026-02-23 17:04:02.973669,3a:82:65:7c:f0:30,Pixel_9240,-61
2026-02-23 17:04:02.975680,3a:82:65:7c:f0:30,TP-LINK_A715,-60
2026-02-23 17:04:02.977522,3a:82:65:7c:f0:30,gateway5G,-60
2026-02-23 17:04:02.995499,3a:82:65:7c:f0:30,CMCC-32yu-5G,-58
2026-02-23 17:04:02.998150,3a:82:65:7c:f0:30,Pixel_9240,-61
2026-02-23 17:04:03.000228,3a:82:65:7c:f0:30,TP-LINK_A715,-59
2026-02-23 17:04:03.002911,3a:82:65:7c:f0:30,gateway5G,-56
2026-02-23 17:04:03.095634,3a:82:65:7c:f0:30,TP-LINK_A715,-72
2026-02-23 17:04:04.635750,9e:f4:20:3f:a3:56,UCR-SECURE,-68
2026-02-23 17:04:04.780089,9e:f4:20:3f:a3:56,UCR-SECURE,-68
2026-02-23 17:04:05.315692,46:32:d0:56:28:c0,UCR-GUEST,-82
2026-02-23 17:04:05.365816,46:32:d0:56:28:c0,UCR-GUEST,-75
2026-02-23 17:04:05.374368,46:32:d0:56:28:c0,UCR-GUEST,-76
2026-02-23 17:04:05.652893,90:65:84:5d:d1:fd,<Broadcast>,-58
